Name;Tag;Coordinates;Base Item;Attack Damage;Attack Speed;Ability;Armor;Armor Toughness;Enchantments;Bonus Stats;Obtain
Absolute Ruin;Artifact;['(-3571, 71, 3349)'];Diamond Helmet;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['#NO_INFO'];['-80% Max Health', '-0.05 Movement Speed', '+15 Attack Damage'];["Located in southern Anyr'Nogur, in a large magma field. Chest located at (-3571, 71, 3349)"]
Aegis of House Anyr;Artifact;['(-3468, 141, 2242)'];Shield;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking III'];['+75% Knockback Resistance'];["Located in the pyramid in Sal'Anyr, in Anyr'Nogur. Chest located at (-3468, 141, 2242)"]
Air Sailor's Runehat;Artifact;['(-2082, 67, -3319)'];Leather Helmet;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['Respiration IX', 'Unbreaking V'];['#NO_INFO'];['Located at the Insohmic port on the southern shore of the Island of Dusk. Chest located at (-2082, 67, -3319)']
Alloyed Gold Rapier;Artifact;['(-1575, 67, -522)'];Golden Sword;6;1.4;#NO_INFO;#NO_INFO;#NO_INFO;['Looting I', 'Unbreaking VIII'];['#NO_INFO'];['Located in the lighthouse building in Okeke. Item Frame located at (-1575, 67, -522)']
Alviran Signet Shield;Artifact;['(3984, 82, -12)'];Shield;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking II'];['-0.02 Movement Speed, +2 Attack Damage'];['Located in the ruins of Virsuhl, in northern Spearhead Forest. Chest located at (3984, 82, -12)']
Ancient Crown;Artifact;['(1539, 77, -377)'];Golden Helmet;#NO_INFO;#NO_INFO;#NO_INFO;3;#NO_INFO;['Unbreaking VII'];['#NO_INFO'];["Located in the main ziggurat structure in the ruins of Drahbes, in the northeastern Gulf of Drehmal/southwestern Akhlo'Rohma. Chest located at (1539, 77, -377)"]
Anyr Priest's Tunic;Artifact;['(1, 116, 1732)'];Leather Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;5;1;['Unbreaking III'];['#NO_INFO'];["Found in a triangular temple within the southeastern plateau of Av'Sal. Chest located at (1, 116, 1732)"]
AP-357 Excavator;Artifact;['(1078, 33, 2143)'];Iron Pickaxe;4;1.2;#NO_INFO;#NO_INFO;#NO_INFO;['Efficiency VII'];['#NO_INFO'];['Found in the flooded mines under Rhaverik in the North Heartwood. Chest at (1078, 33, 2143)']
Ardent Dream;Artifact;['(-4005, 75, 5967)'];Diamond Boots;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['#NO_INFO'];['+4 Max Health'];['Located in a hidden side room of the Burnt Palace, in the Hellcrags. Chest located at (-4005, 75, 5967)']
Ardent Force;Artifact;['(-4030, 81, 5977)'];Diamond Leggings;#NO_INFO;#NO_INFO;#NO_INFO;6;2;['#NO_INFO'];['+4 Max Health'];['Located in a hidden side room of the Burnt Palace, in the Hellcrags. Chest located at (-4030, 81, 5977)']
Ardent Hope;Artifact;['(-3943, 52, 6012)'];Shield;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;#NO_INFO;['Unbreaking III'];['+6 Max Health, -0.01 Movement Speed'];['Located in a small side tower of the Burnt Palace, in the Hellcrags. Chest located at (-3943, 52, 6012)']
Ardent Resolve;Artifact;['(-4019, 53, 5970)'];Diamond Helmet;#NO_INFO;#NO_INFO;#NO_INFO;3;2;['#NO_INFO'];['+4 Max Health'];['Located in the main entrance hall of the Burnt Palace, in the Hellcrags. Chest located at (-4019, 53, 5970)']
Ardent Will;Artifact;['(-3987, 85, 6015)'];Diamond Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;8;2;['#NO_INFO'];['+4 Max Health'];['Located in a hidden side room of the Burnt Palace, in the Hellcrags. Chest located at (-3987, 85, 6015)']
Arijoor Garments;Artifact;['(-843, 105, -1105)'];Leather Leggings;#NO_INFO;#NO_INFO;#NO_INFO;5;#NO_INFO;['Fire Protection II', 'Blast Protection II', 'Projectile Protection II', 'Unbreaking 5'];['#NO_INFO'];['Located in the ruins of Arijoor Forks, in northern Merijool. Chest located at (-843, 105, -1105)']
Aru'Dahru;Artifact;['(60, 57, 3830)'];Leather Boots;#NO_INFO;#NO_INFO;#NO_INFO;1;#NO_INFO;['Protection IV', 'Fire Protection V', 'Depth Strider III', 'Unbreaking VII'];['#NO_INFO'];["Located in an underwater cavern beneath the Heartwater, the isthmus connecting the South Heartwood to Lorahn'Kahl/Palisades Heath. Chest located at (60, 57, 3830)"]
Ash-Stained Battle Skirt;Artifact;['(3786, 85, 3927)'];Chainmail Leggings;#NO_INFO;#NO_INFO;#NO_INFO;3;#NO_INFO;['#NO_INFO'];['+1 Attack Damage, -2 Health'];['Located in the ruins of Vulteid, in the Black Jungle. Chest located at (3786, 85, 3927)']
Astorahnni Ceremonial Plate;Artifact;['(-181, 206, -573)'];Golden Chestplate;#NO_INFO;#NO_INFO;#NO_INFO;6;#NO_INFO;['Protection I', 'Fire Protection VI', 'Unbreaking VI'];['#NO_INFO'];['Located at the Astorahnni Tower, in the northwestern Gulf of Drehmal. Chest located at (-181, 206, -573)']
