# Legendary Item

### Aeongale

| **Base Item**   | Netherite Leggings                                           |
| **Stats (Legs)**              | -10 Max Health (-5 Hearts) <br> +0.02 Movement Speed <br> +6 Armor  <br> +1 Armor Toughness      |
| **Enchantments**              | N/A |
| **Ability**                   | **Guided by Fate**: "*When at full HP, the wearer's perception quickens, slowing nearby projectiles and hostile entities.*" |
| **Lore**                      | Prior to the Divine Schism, La'Tehrmari were largely ascended because of their friendship with Aspects. Their mortal Ro'Tehrmari children were not as favored. But there was one notable exception: Dragonrider Oriann, the only being ever to understand Rihelma. The Star-Rise Drake crafted this armor for her beloved, and laid it in a crystalline tomb after Oriann's natural death. |
| **Obtain**                    | At the end of the [[Augural Tangle]].   | 

**Coordinates:** (1269, 53, 1199)

### AvPOD (Avsohmic Playback Organizer Device)

| **Ability**                   | **Music Player**: "*Records music as you explore. Right-click to see and play the many songs of Drehmal.*"
| **Lore**                      | Under Avsohmic rule, leisure was a privilege afforded only to the wealthy and powerful. This strange artifact passed its way through many opulent hands before ending up in yours. |
| **Obtain**                    | Located at the Lord Magister's Residence, atop the arch overlooking [[Tharxax City]].   |

**Coordinates:** (-2113, 119, 3582)

### Avsohm'Kohl

| **Base Item**   | Elytra                                           |
| **Enchantments**              | Unbreaking IV |
| **Ability**                   | **Technological Wings**: "*Tap jump while falling to slowly glide forward or down.*" |
| **Lore**                      | A strange technological artifact gifted by avSYS, constructed by the brilliant scientists housed here thousands of years ago. Despite the cutting edge technology used in its construction, its weaknesses are hard to ignore, mainly being prone to combustion and an aversion to water-based magics. |
| **Obtain**                    | At the top of the tallest domed building in [[Sal'Mevir]].  |  

### Crystal Digging Claws

| **Base Item**   | Diamond Showel                                           |
| **Stats (Main Hand)**         | -2 Max Health (-1 Heart) <br> +0.01 Movement Speed <br> 2 Attack Damage <br> 4.5 Attack Speed            |
| **Enchantments**              | Efficiency VIII <br> Unbreaking IV |
| **Ability**                   | **Runic Magnet**: "*Nearby items are attracted to the wielder.*" |
| **Lore**                      | Though very few have made their home on the isolated Islands of Dusk and Dawn, they are the sole producer of mendarum crystals, which are second in potentia only to rehntite among all minerals. This claw was designed by Insohmic artificers to efficiently dig around crystals for easier extraction. |
| **Obtain**                    | Found in a large mine on the eastern side of the [[Island of Dusk]].   |

**Coordinates:** (-1874, 47, -3805)

### Emperor Anyr's Scepter

| **Base Item**   | Golden sword                                           |
| **Stats (Main Hand)**         | +6 Max Health (+3 Hearts) <br> 11 Attack Damage <br> 1.3 Attack Speed            |
| **Enchantments**              | Unbreaking X |
| **Ability**                   | **Final Tenacity**: "*At 20% HP, the wielder enters an enhanced, but precarious state. Killing an enemy in this period will heal the wielder, but failing to do so will result in instant death. Cooldown refreshes at full health..*"[^1] |
| **Lore**                      | Before Anyr was Emperor, he was a successful military general. Thus, even apparently ceremonial items he carried contained powerful means of self-defense. Like his elaborate mausoleum, however, this scepter was discarded when it was no longer needed. |
| **Obtain**                    | Located deep within the large pyramid at [[Sal'Anyr]].   |

**Coordinates:** (-3437, 133, 2215)

### Eyebiter

| **Base Item**   | Shield                                           |
| **Stats (Off-Hand)**          | +15% Knockback Resistance <br> +2 Armor <br> +1 Armor Toughness            |
| **Enchantments**              | Unbreaking IV |
| **Ability**                   | **Reflective Lens**: "*Can deflect magical projectiles back at their caster. This ability must then briefly recharge.*" |
| **Lore**                      | Maelihs took advantage of the Tidal War's chaos to infiltrate the Kiln with designs to kill Virtuo. He bested her in combat, but was unable to finish the deed. Instead, he ripped her eye from its socket and took it to Rhaveloth, where it was crafted into this wicked shield. It is seen as a portent of Mael's eventual conquest of the entire realm. |
| **Obtain**                    | Located in the [[Sepulchral Altar]] at [[Rhaveloth]].   |

**Coordinates:** (-2806, 39, 5387)

### Festering Strides

| **Stats (Feet)**              | +10 Max Health (+5 Hearts) <br> -40% Armor <br> -40% Armor Toughness            |
| **Enchantments**              | Unbreaking V <br> Mending |
| **Ability**                   | **Necrotic Vigor**: "*Wearing these boots grants the user a regenerating absorption shield.*" |
